"S_No","Year","Month","Country","Product_ID","Monthly_Sales"
1,2013,1,"Argentina",2,2751851.48
2,2013,2,"Argentina",2,2804313.12
3,2013,3,"Argentina",2,2573004.98
4,2013,4,"Argentina",2,3436237.42
5,2013,5,"Argentina",2,3772468.84
6,2013,6,"Argentina",2,3712853.34
7,2013,7,"Argentina",2,3791545.8
8,2013,8,"Argentina",2,3698545.62
9,2013,9,"Argentina",2,3979930.78
10,2013,10,"Argentina",2,4514085.66
11,2013,11,"Argentina",2,5258087.1
12,2013,12,"Argentina",2,4010930.84
13,2014,1,"Argentina",2,4821701.64
14,2014,2,"Argentina",2,4044315.52
15,2014,3,"Argentina",2,4945701.88
16,2014,4,"Argentina",2,5067317.5
17,2014,5,"Argentina",2,5792241.98
18,2014,6,"Argentina",2,5947242.28
19,2014,7,"Argentina",2,5594318.52
20,2014,8,"Argentina",2,5367779.62
21,2014,9,"Argentina",2,5618164.72
22,2014,10,"Argentina",2,6459935.58
23,2014,11,"Argentina",2,6433704.76
24,2014,12,"Argentina",2,5799395.84
25,2015,1,"Argentina",2,5899549.88
26,2015,2,"Argentina",2,6045011.7
27,2015,3,"Argentina",2,6517166.46
28,2015,4,"Argentina",2,6727013.02
29,2015,5,"Argentina",2,6040242.46
30,2015,6,"Argentina",2,6865320.98
31,2015,7,"Argentina",2,7668937.92
32,2015,8,"Argentina",2,6512397.22
33,2015,9,"Argentina",2,7041782.86
34,2015,10,"Argentina",2,7447168.26
35,2015,11,"Argentina",2,7840630.56
36,2015,12,"Argentina",2,6431320.14
37,2016,1,"Argentina",2,7535399.2
38,2016,2,"Argentina",2,7318398.78
39,2016,3,"Argentina",2,7456706.74
