"S_No","Year","Month","Country","Product_ID","Monthly_Sales"
1,2013,1,"Columbia",1,3947356.31
2,2013,2,"Columbia",1,4074073.2
3,2013,3,"Columbia",1,4189422.98
4,2013,4,"Columbia",1,4229307.08
5,2013,5,"Columbia",1,4452229.12
6,2013,6,"Columbia",1,3873948.16
7,2013,7,"Columbia",1,4214367.52
8,2013,8,"Columbia",1,2928228.91
9,2013,9,"Columbia",1,3488241.61
10,2013,10,"Columbia",1,4262999.85
11,2013,11,"Columbia",1,4043244.66
12,2013,12,"Columbia",1,4002505.91
13,2014,1,"Columbia",1,4066403.75
14,2014,2,"Columbia",1,4513102.85
15,2014,3,"Columbia",1,4553499.02
16,2014,4,"Columbia",1,4356245.43
17,2014,5,"Columbia",1,4841843.13
18,2014,6,"Columbia",1,4556475.91
19,2014,7,"Columbia",1,4807423.76
20,2014,8,"Columbia",1,2945606.8
21,2014,9,"Columbia",1,3645624.65
22,2014,10,"Columbia",1,3579737.26
23,2014,11,"Columbia",1,3270469.24
24,2014,12,"Columbia",1,3497122.76
25,2015,1,"Columbia",1,3714838.12
26,2015,2,"Columbia",1,3586109.1
27,2015,3,"Columbia",1,4634858.58
28,2015,4,"Columbia",1,3937762.95
29,2015,5,"Columbia",1,3645917.15
30,2015,6,"Columbia",1,4283181.4
31,2015,7,"Columbia",1,4079098.85
32,2015,8,"Columbia",1,3052256.05
33,2015,9,"Columbia",1,3292214.49
34,2015,10,"Columbia",1,4067910.85
35,2015,11,"Columbia",1,3634705.1
36,2015,12,"Columbia",1,3569022.15
37,2016,1,"Columbia",1,3313485.6
38,2016,2,"Columbia",1,3617369.09
39,2016,3,"Columbia",1,2928867.34
